,0
climb,0
handstand,1
ride_bike,2
climb_stairs,3
push,4
hit,5
somersault,6
shake_hands,7
punch,8
sword_exercise,9
chew,10
brush_hair,11
kick,12
pour,13
golf,14
eat,15
sword,16
pullup,17
hug,18
pushup,19
shoot_ball,20
kiss,21
dive,22
laugh,23
run,24
smoke,25
shoot_bow,26
shoot_gun,27
drink,28
turn,29
situp,30
stand,31
kick_ball,32
smile,33
fencing,34
jump,35
pick,36
catch,37
clap,38
throw,39
sit,40
ride_horse,41
wave,42
dribble,43
swing_baseball,44
talk,45
cartwheel,46
walk,47
flic_flac,48
fall_floor,49
draw_sword,50
